address,classification,details,fone,link,name,position,has_instagram,has_facebook,facebook_link,instagram_link,link_problem
"R. 902 C, 333","4,2",Imobiliária, (47) 3368-8758 · ,http://www.jdrewscorretordeimoveis.com.br/,Jhonny Drews - Corretor de Imóveis - Creci 29256,15,False,False,,,
"Avenida Nereu Ramos, 1100 - sobre loja","5,0",Imobiliária, (47) 3363-6657 · ,http://www.imoveisexclusive.com.br/,Exclusive Imóveis,16,,,,,True
"R. 712, 06","3,0",Corretora de aluguel de imóveis, (47) 99783-9246 · ,http://aluguel-temporada-em-itapema.negocio.site/,Aluguel Temporada em Itapema,17,False,False,,,
"Av. Nereu Ramos, 3073","5,0",Imobiliária, (47) 3268-0664 · ,/aclk?sa=l&ai=DChcSEwi-183J1M_rAhWFEZEKHZeeCbsYABAAGgJjZQ&sig=AOD64_1-sLQhD2Fkhk8x8EW2hwcKPrCBcA&adurl&q&ctype=99,R4 Imóveis,21,,,,,True
R. 115 B,"4,4",Imobiliária, (47) 3398-4098 · ,http://www.elitteimobiliaria.com.br/,Elitte Negócio Imobiliários - Filial Itapema,23,True,True,https://www.facebook.com/elittenegociosimobiliarios,https://www.instagram.com/elittenegociosimobiliarios/,
"esquina com - Av. Nereu Ramos, R. 130, 560","4,1",Imobiliária, (47) 99244-2675 · ,http://ricardoimoveisnapraia.com.br/,Ricardo Imóveis,25,,,,,True
"Av. Nereu Ramos, 740 - Conj. 2","4,5",Imobiliária, (47) 98409-6361 · ,http://www.facebook.com/edemilson.j.peixer,Edemilson Corretor de Imoveis SC,26,True,True,https://www.facebook.com/edemilson.j.peixer,,
"G, R. 706 D, 93","5,0",Imobiliária, (47) 99991-0681 · ,http://www.jairtrindade.com.br/,Jair Trindade Corretor de Imóveis,27,False,False,,,
"Nereu Ramos, 5282 - Sala 08 - Residencial Le Lis Blanc","5,0",Imobiliária, (47) 3368-5776 · ,http://renancorretordeimoveis.com.br/,Renan corretor de imoveis,28,,,,,True
"Rua 146, Av. Nereu Ramos, 1100","5,0",Imobiliária, (47) 3344-2832 · ,,Juliano Siqueira Negócios Imobiliários,29,,,,,
"R. 108A, 111","4,3",Imobiliária, (47) 98875-1068 · ,http://www.zumimoveis.com.br/,Zum Imóvies,30,True,True,https://www.facebook.com/zumimoveis,https://www.instagram.com/zum_imoveis/,
"R. 880A, 144 - AP 1008","4,4",Imobiliária, (53) 98130-8025 · ,http://catiaaguiarimoveis.com.br/,Cátia Aguiar imóveis,31,True,True,https://www.facebook.com/catiaaguiarimoveis/,https://www.instagram.com/catiaaguiarimoveis/,
"Servidão Pref. Olegário Bernardes, Nº 40","4,7",Imobiliária, (47) 3368-2642 · ,http://www.jcvequialugueis.com.br/p/contato.html,JC Vequi Aluguéis,32,False,True,,,
"Rua Setecentos, 96","4,7",Imobiliária, (47) 3361-7282 · ,,Confiance Imóveis Itapema,33,,,,,
"Av. Nereu Ramos, 740",,Imobiliária, (47) 99170-3200 · ,http://www.kaianomachado.com.br/,Kaiano Machado Consultoria Imobiliária,34,,,,,True
"R. 608, 32","4,5",Imobiliária de aluguel de residências, (47) 3268-3737 · ,,Tabuleiro Das Oliveiras,35,,,,,
"Av. Nereu Ramos, 980","5,0",Imobiliária, (47) 3368-0186 · ,http://www.andersoncimoveis.com.br/,Anderson N. Scandolara Corretor de Imóveis,38,False,False,,,
"R. 205, 75","4,4",Imobiliária, (47) 3267-0011 · ,http://www.siframar.com.br/,Imobiliária Siframar,39,,,,,True
"R. 133, 2","4,6",Corretores de imóveis, (47) 3363-0740 · ,,Imóveis em Itapema SC,40,,,,,
"Av. Nereu Ramos, 4808 - 03","5,0",Imobiliária, (47) 3368-5800 · ,/aclk?sa=l&ai=DChcSEwjkl6LL1M_rAhVTB5EKHbfdAEUYABAAGgJjZQ&sig=AOD64_1T_T17Iy0sMcjGZJGyMslAr74SoA&adurl&q&ctype=99,Otimizza Imóveis,43,,,,,True
"R. 410, 288","4,1",Imobiliária, (47) 99755-1122 · ,,Corretor de imoveis em Itapema Sc,47,,,,,
"Av. Nereu Ramos, 3006 - Sala 3","4,8",Imobiliária, (47) 3363-3064 · ,http://www.vendasitapema.com.br/,Imobiliária vendas itapema,48,True,True,https://www.facebook.com/alexandra.til/,https://www.instagram.com/vendas_itapema/?hl=pt-br,
"Av. Nereu Ramos, 3377 - Sala 09","4,9",Imobiliária, (47) 3268-0110 · ,http://www.shoppingimoveis.imb.br/,Shopping Imóveis Itapema,49,False,True,https://www.facebook.com/shoppingimoveis.itapema,,
"R. 406 - C, 343","5,0",Imobiliária, (47) 3246-6707 · ,,Martins Corretora de Imoveis,50,,,,,
"R. 414, 254","4,5",Imobiliária, (47) 3368-2020 · ,http://www.glfimoveis.com.br/,Glf Imóveis,52,,,,,True
"R. 208, 90","4,0",Imobiliária, (47) 3369-5224 · ,http://www.partalaimoveis.com.br/,Partala Imóveis,54,,,,,True
"Av. Nereu Ramos, 3099 - 02","4,2",Imobiliária, (47) 3368-5553 · ,http://www.imobiliariajc2.com.br/,Imobiliaria e Administradora JC2,55,,,,,True
"R. 414, 88 - Sala 2",,Imobiliária, (47) 3268-7000 · ,,Allicerce Imóveis em Itapema SC,56,,,,,
"Av. Nereu Ramos, 1029","4,1",Corretores de imóveis, (47) 3368-2211 · ,http://www.pioimoveis.com.br/,Pio Imóveis,58,,,,,True
Avenida Nereu Ramos N.3365 Sala 01 entre A Rua 222 e A Rua 224 Disnelandia,"4,2",Imobiliária, (47) 3368-4090 · ,http://www.portalimoveisitapema.com.br/,Portal Imóveis Itapema,59,True,True,https://www.facebook.com/portalimoveisitapema,https://www.instagram.com/portalimoveisitapema/,
"R. 406 - B, 519","4,0",Imobiliária de aluguéis por temporada, (47) 99637-3555 · ,,Casa com piscina próximo a Meia Praia Totalmente reformada,60,,,,,
"Av. Nereu Ramos, 31","4,4",Corretores de imóveis, (47) 99999-2200 · ,http://www.itapemabrasil.com.br/,ItapemaBrasil,61,False,False,,,
"Av. Nereu Ramos, 3577","4,6",Imobiliária, (47) 3368-4433 · ,http://www.savoia.com.br/,Savoia Imóveis,64,True,True,https://www.facebook.com/savoiaitapema,https://www.instagram.com/savoiaimoveis/,
"Av. Nereu Ramos, 2880","4,8",Imobiliária, (47) 3368-4444 · ,http://www.imobiliariamafra.com.br/site/,Elaine Mafra Corretora de Imóveis,67,,,,,True
"Av. Nereu Ramos, 73","3,8",Corretores de imóveis, (47) 3268-3110 · ,http://www.izabelcaetanoimoveis.com.br/,Izabel Caetano e Marcia Ferrari Consultoria Imobiliária,68,True,True,http://www.facebook.com/pages/Izabel-Caetano-Consultoria-Imobiliaria/620207041401689?ref=hl,http://www.instagram.com/a_corretoradeimoveis/,
"R. 249, 83 - Sala 2","4,3",Imobiliária, (47) 3368-9450 · ,http://www.imobiliariaitapema.com.br/,Imobiliária Itapema Ltda,69,,,,,True
"R. 412 A, 286 - 02","4,5",Imobiliária, (47) 3268-3500 · ,http://www.wbtimoveis.com.br/,WBT Imóveis,73,,,,,True
"R. 212, 152","5,0",Imobiliária, (47) 99183-7822 · ,http://www.mundoimoveis.imb.br/,Mundo Imóveis - Itapema- SC,74,True,True,https://www.facebook.com/mundoimoveis.imb.br/,,
R. 229,"4,3",Imobiliária, (47) 99723-0770 · ,http://www.habitapema.com.br/,"Imóveis à venda em Meia Praia, Itapema sc Imobiliárias Imóveis à venda em Meia Praia, Itapema, Imobiliaria Itapema, apartamentos e casas em Meia Praia SC imóveis à venda em Meia Praia, Santa Catarina.",75,False,True,,,
"Av. Nereu Ramos, 3348 - S 2","4,7",Imobiliária, (47) 3368-6699 · ,http://www.belacasaimobiliaria.com.br/site/,Imobiliária Bela Casa,77,,,,,True
"2996, Av. Nereu Ramos","4,0",Imobiliária, (47) 3368-0102 · ,http://www.nettoimoveis.com.br/,Netto imoveis,78,,,,,True
"Av. Nereu Ramos, 3414 Sala 01 - Residencial Abu Dhabi","5,0",Imobiliária, (47) 3264-2130 · ,http://www.nicoimoveisitapema.com.br/,Nico Lengler Imóveis,81,,,,,True
"Av. Nereu Ramos, 3055 - 03","4,3",Imobiliária, (47) 3366-3343 · ,http://camanaimoveis.com.br/,Rafael Camana -Corretor de Imóveis,85,,,,,True
"Edificio Center Lorenz lll - Av. Nereu Ramos, 3061 - Sala 02","5,0",Imobiliária, (47) 3368-4242 · ,,SUL IMOVEIS,98,,,,,
"Av. Nereu Ramos, 4211","5,0",Imobiliária, (47) 3368-6699 · ,http://www.claudiaimoveis.com.br/novo/,Claudia Imoveis,99,,,,,True
"R. 208, Nº3082, SALA 01","4,0",Imobiliária, (47) 3368-8507 · ,http://www.fernandamarquesimoveis.com.br/,IMOBILIÁRIA FERNANDA MARQUES IMÓVEIS,100,,,,,True
"Av. Nereu Ramos, 660","5,0",Imobiliária, (47) 3268-6132 · ,http://www.itapemaimoveis.com/,IMOBILIARIAS ITAPEMA É NA IMOBILIÁRIA ANDREA ROTTA IMÓVEIS,101,,,,,True
"R. 424, 167","4,1",Imobiliária, (47) 3268-1729 · ,https://www.marciavianaimoveis.com.br/contato,Marcia Viana Imoveis,102,False,False,,,
"Av. Nereu Ramos, 3072","4,9",Imobiliária, (47) 3368-4221 · ,http://imobiliariaandorinha.com.br/,Incorporadora e Imobiliária Andorinha,104,True,True,https://www.facebook.com/imobiliariaandorinha/,https://www.instagram.com/imobiliariaandorinha,
"Sala 1 nº rua 227, Av. Nereu Ramos, 3377","5,0",Imobiliária, (47) 3368-5001 · ,,Ohmega Imobiliária Filial Imóveis em Itapema SC,105,,,,,
"R. 428, 267 - Sala 01","4,5",Imobiliária, (47) 3264-9921 · ,http://www.ricardofeliximoveis.com.br/,Ricardo Felix corretor de imóveis,107,,,,,True
"Edifício Evidence Tower - Av. Nereu Ramos, 3608 - sala 2","4,8",Imobiliária, (47) 3268-3115 · ,http://www.investnameiapraia.com.br/,Invest Imóveis,111,,,,,True
"Av. Nereu Ramos, 3311 - 02","4,7",Imobiliária, (47) 3363-6490 · ,http://www.goldenitapema.com.br/,Imobiliária Golden,112,,,,,True
"Av. Nereu Ramos, 3875 - Sl. 05","4,5",Imobiliária, (47) 3369-6266 · ,http://www.vipimoveisitapema.com.br/,VIP Imóveis Itapema,114,True,True,//www.facebook.com/vipimoveisitapema06,//www.instagram.com/vipimoveisitapema/,
"R. 220, n 345","5,0",Imobiliária, (47) 99789-8577 · ,,Aluguel de Temporada e Excursões Meia Praia – Itapema/SC,115,,,,,
"R. 251, Nº 100 - Sala 02","4,6",Imobiliária, (47) 3368-8240 · ,http://www.solarimoveis-sc.com.br/,Solar Imóveis,120,True,True,http://www.facebook.com/solaritapemaimoveis/#,http://www.instagram.com/solarimoveis,
"R. 232, 45 - Sala 05","4,0",Imobiliária de aluguéis por temporada, (47) 98480-1480 · ,http://www.norbertocorretor.com.br/,Norberto Ottens Corretor Itapema,121,,,,,True
"Esquina com a - Av Nereu Ramos Nº: 3367, R. 227","4,7",Imobiliária, (47) 3268-1423 · ,http://www.3limoveis.com.br/,3L Imóveis,128,True,True,https://www.facebook.com/3limoveis/,https://www.instagram.com/3limoveis/,
Condomínio Residencial Malibu - Rua 214 nº 177,"4,5",Imobiliária, (47) 99654-8200 · ,,Itapema City Turismo Lazer e Negócios,129,,,,,
"Av. Nereu Ramos, 3285 - Sala 6","5,0",Imobiliária, (47) 3268-1038 · ,,Imobiliária Sucesso,130,,,,,
"Rua 232, 287 Sala 04 - Frente, 2ª Avenida","4,7",Imobiliária, (47) 3368-3333 · ,http://www.fbimobiliaria.com.br/,FB Negócios Imobiliários,135,True,True,https://www.facebook.com/imobiliariaemitapema/?fref=ts,https://www.instagram.com/fbimobiliaria/,
"4109, Av. Nereu Ramos, 4083","5,0",Imobiliária, 0800 643 0121 · ,,Imobiliária Century Itapema,136,,,,,
"R. 434, 102","5,0",Imobiliária, (47) 99920-7181 · ,,Rodrigo Giorgio Senese,137,,,,,
"R. 278, 578 - sala 01","5,0",Imobiliária, (47) 99666-0239 · ,,Imobiliária em Meia Praia/Itapema-SC,138,,,,,
"Av. Nereu Ramos, 3223","4,3",Imobiliária, (47) 3368-5050 · ,http://www.elitteimobiliaria.com.br/,Elitte Negócios Imobiliários - Matriz,139,True,True,https://www.facebook.com/elittenegociosimobiliarios,https://www.instagram.com/elittenegociosimobiliarios/,
"Av. Nereu Ramos, 3321","3,8",Imobiliária, (47) 3368-3008 · ,https://www.leativa.com.br/,Imobiliária Ativa,140,,,,,True
"Av. Nereu Ramos, 660 - sala.02","5,0",Corretores de imóveis, (47) 99979-8630 · ,http://schereritapemasc.com.br/,Scherer Corretor de Imóveis ( Alex Sandro Scherer ),145,False,True,/pagina/httpswwwfacebookcomschereritapemasc-4227,,
"Av. Nereu Ramos, 3339","5,0",Imobiliária, (47) 3368-4723 · ,http://www.imoveisrg.com.br/,RG Negócios Imobiliários,146,True,True,https://www.facebook.com/rgimoveisitapema/,https://www.instagram.com/rgimoveisitapema,
"Av. Nereu Ramos, 3360","4,0",Imobiliária, (47) 3268-4095 · ,http://www.imobiliariaobjetiva.com.br/site/,Objetiva Empreendimentos Imobiliários,148,False,False,,,
"Av. Nereu Ramos, 4515","1,0",Imobiliária, (47) 3268-2121 · ,,Imobiliária Century Itapema SC | Venda e Aluguel de Apartamentos,150,,,,,
"R. 216, 112 - sala 5","5,0",Imobiliária, (47) 3363-2133 · ,http://www.x7investimentos.com.br/,X7 Investimentos,151,,,,,True
"Av. Nereu Ramos, 3382","5,0",Imobiliária, (47) 99900-3366 · ,,Moura Mar Imoveis,152,,,,,
"Av. Nereu Ramos, 3400 - Sala 06","4,9",Imobiliária, (47) 3368-0909 · ,https://natantufiimoveis.com.br/,Natã Tufi - Imobiliária Itapema,156,,,,,True
"Av. Nereu Ramos, 4665","4,3",Imobiliária, (47) 3268-4000 · ,http://www.marcusimoveis.com.br/,Imobiliária Marcus Imóveis CRECI 5688J,157,True,True,//www.facebook.com/marcus.imoveis.itapema/,//www.instagram.com/imobiliariamarcusimoveis/,
"Av. Nereu Ramos, 3082 - 01","4,3",Imobiliária, (47) 3514-1307 · ,http://www.fernandamarquesimoveis.com.br/,Fernanda Marques Imóveis,159,,,,,True
"Ed Premier Tower - Av. Nereu Ramos, 3556 - sala 03","4,5",Imobiliária, (47) 3368-5050 · ,http://www.elitteimobiliaria.com.br/,Elitte Negócios Imobiliários,161,True,True,https://www.facebook.com/elittenegociosimobiliarios,https://www.instagram.com/elittenegociosimobiliarios/,
"Av. Nereu Ramos, 4980","4,0",Imobiliária, (47) 3368-8868 · ,http://www.imobiliariabastos.com.br/,Dom Bastos Imobiliária,163,,,,,True
"Av. Nereu Ramos, 3172","4,1",Imobiliária, (47) 3368-2500 · ,https://www.hjjuniorimoveis.com.br/,H.J. Junior,165,,,,,True
"Av. Nereu Ramos, 4142","4,6",Corretora de aluguel de imóveis, (47) 3368-7755 · ,http://www.solmarimoveis.com.br/,SOLMAR IMÓVEIS,170,,,,,True
N 152 Rua 212,"5,0",Imobiliária, (47) 99959-6467 · ,http://magselect.com.br/properties/montpellier-residence/,MagSelect,171,,,,,True
"Av. Nereu Ramos, 4000 - Sala 01","4,2",Imobiliária, (47) 99242-7238 · ,http://www.maisonimoveisitapema.com.br/,Maison Imóveis,174,,,,,True
"R. 265, 131 - 01","4,7",Imobiliária, (47) 3268-5544 · ,http://stoantonioimoveis.com.br/,C. A. Fernandes Corretor de Imóveis,195,False,True,,,
"Rua 264, n.º 239, Sala 02 esq. c, 2ª Avenida","4,6",Imobiliária, (47) 3393-6616 · ,https://www.jesielimoveis.com.br/,Jesiel Imóveis,199,True,True,https://www.facebook.com/jesielimoveis/,https://www.instagram.com/jesielimoveis/,
"Rua. 234, n 186 -Sala 01 Ed Esmeralda","4,7",Imobiliária, (47) 3398-1481 · ,http://www.hjjuniorimoveis.com.br/,H.J.Junior Imóveis,201,,,,,True
"Av. Nereu Ramos, 3333 - sala 04","4,7",Imobiliária, (47) 3398-2422 · ,http://www.jximoveisitapema.com.br/,Jx Imóveis,202,,,,,True
Rua 228 n.205 sala7,"4,6",Imobiliária, (47) 3361-5342 · ,http://www.vrimoveisitapema.com.br/contato/,VR IMOVEIS - Vera Reichert - Corretora de Imóveis e Avaliadora de Imóveis.,203,,,,,True
"R. 270, Nº 26 - 06","5,0",Imobiliária, (47) 3268-1505 · ,http://www.novaeraitapema.com.br/,Nova Era Itapema Imobiliária,206,,,,,True
"R. 246, 185 - 01","4,5",Imobiliária, (47) 99963-6188 · ,http://www.sumaraimoveis.com.br/,Imobiliária Sumara Imóveis,208,,,,,True
"R. Duzentos e Vinte e Seis, 43","4,7",Imobiliária, (47) 3363-6154 · ,https://www.rudineiimoveis.com.br/imobiliaria,Rudinei Imóveis,211,,,,,True
"R. 256, 22","4,4",Imobiliária, (47) 3368-8899 · ,http://www.personaliteimoveisitapema.com.br/,Rodrigo Santos Corretor de Imóveis,222,,,,,True
"Av. Nereu Ramos, n 4145","5,0",Imobiliária, (47) 99953-1206 · ,http://imoveislazarotto.com.br/,Imobiliária Lazarotto Imóveis,224,False,True,,,
"Avenida Neureu Ramos, R. 225, 3377 - sala 09","4,6",Imobiliária, (47) 98907-8973 · ,http://www.shoppingimoveis.imb.br/,Fábio Delfino corretor de imóveis,225,False,True,https://www.facebook.com/shoppingimoveis.itapema,,
"Rua 234, nº 340, esquina com, 2ª Avenida","5,0",Imobiliária, (47) 3268-0058 · ,http://imoveisnossolar.com.br/,Imóveis Nosso Lar,228,False,False,,,
Rua 279 numero 4975 sala 09,"4,7",Imobiliária, (47) 99719-9999 · ,http://www.natalieribasimoveis.com.br/,Natalie Ribas Boutique Imoveis,229,,,,,True
"Segunda Avenida esquina com 278, Nº292, Sala 01","5,0",Imobiliária, (47) 99953-1206 · ,http://www.imoveislazarotto.com.br/,Lazarotto Imoveis | Imobiliária Itapema,230,False,True,,,
"R. 262, 144 - sala 07","4,8",Imobiliária, (47) 3368-8333 · ,http://www.bellaitapema.com.br/,Bella Itapema Negócios Imobiliários,234,False,True,,,
"R. 258, 203 - Sala 10","4,7",Imobiliária, (47) 3368-5768 · ,http://renovareimoveissc.com.br/,Renovare Imoveis,236,,,,,True
"Sala 1503 4077, Av. Nereu Ramos","4,8",Imobiliária, (47) 3514-7691 · ,http://www.yankeesitapema.com.br/,Yankees Negócios Imobiliários,237,,,,,True
"R. 272, 275 - Sala 10","4,7",Imobiliária, (47) 3264-7845 · ,https://www.imoveisdomandrade.com.br/,Dom Andrade Imóveis,239,,,,,True
"R. 254, 50","4,5",Imobiliária, (47) 3368-1006 · ,http://www.leomaralvescorretor.com.br/,Imobiliária Leomar Alves,244,,,,,True
"Av. Nereu Ramos, 4164","4,8",Imobiliária, (47) 3366-6633 · ,,Mazetto Imóveis,245,,,,,
"R. 252, 264","5,0",Imobiliária, (48) 99631-7196 · ,http://engetecimoveis.com.br/,Engetec Imoveis Itapema,246,,,,,True
"Av. Nereu Ramos, esq, R. 245, nº 4171 - sala 03","5,0",Imobiliária, (47) 3514-4442 · ,https://innovaimoveis.net.br/,Innova Imóveis,248,True,True,https://www.facebook.com/Innovaimoveisitapema/,https://www.instagram.com/innovaimoveis,
"R. 252, 565","4,6",Imobiliária, (47) 99155-7116 · ,https://imoveismontecchio.com.br/fale-conosco,montecchio negocios imobiliários,249,,,,,True
"nº 246 - Edifício Comercial Kammer Center Rua 246, Sala 203","3,7",Complexo de condomínio, (47) 3368-8004 · ,,New Life Imobiliária e Condomínios,252,,,,,
"R. 241, 78","5,0",Imobiliária, (47) 99641-3025 · ,http://renanimoveissc.com.br/,Renan Imóveis,253,True,True,https://www.facebook.com/Renan-ImÃ³veis-2220734654830717,https://www.instagram.com/renanimoveissc,
"R. 296, 65 - Sala 5","4,0",Imobiliária, (47) 3268-1047 · ,http://ribeiroimoveisitapema.com.br/,Ribeiro Imóveis,256,,,,,True
"R. 278, 119 - Sala 02","5,0",Imobiliária, (47) 99665-9088 · ,https://www.corretoresseleto.com.br/contato,Corretores Seleto,258,False,False,,,
"Av. Nereu Ramos, 4871","3,8",Imobiliária, (47) 3368-6033 · ,http://www.verdemarimoveis.com.br/,Verde Mar Imóveis,260,True,True,https://www.facebook.com/verdemar.imoveis/?ref=aymt_homepage_panel,https://www.instagram.com/verde_mar_imoveis/,
